Id,Text,StartTime,StoryId,void
1,ما الذي منع آدم أن يدعو سالم ليلعب معهم؟,2:00,1,0
2,ماذا كان الهدف من لعب آدم وسامر كرة القدم؟,3:56,1,0
3,ما الذي دفع سالم لقول أن آدم صديق حقيقي؟,6:14,1,0
4,ما هو التصرف المناسب عند رؤية أحد الأشخاص يختلف عنا؟,6:55,1,0
5,ما هو التصرف المناسب عند رؤية نحلة تقترب منا؟,1:10,2,0
6,هل برأيك كان هنالك وحش؟ لماذا؟,1:48,2,0
7,ما الذي دفع خالد وبشار بأن يتنكروا بزي الوحش؟,3:21,2,0
8,برأيك، متى يمكننا مسامحة الآخرين؟,6:11,2,0
9,كيف يتشكل المطر؟,3:04,3,0
10,ما هو الندى؟,6:24,3,0
11,اوصف القرد ميمون ؟,02:08,4,0
12,ماذا فعل الأرنب عندما عَلِم بمرض سنجوب ؟,02:53,4,0
13,ماذا حدث للقرد عندما حاول سرقة النحل ؟,04:43,4,0
14,لماذا الحيوانات لم تساعد ميمون ؟,05:00,4,0
15,ماذا استفدت من القصة ؟,05:23,4,0
16,صف لنا أحد حيوانات الغابة كما حدثتها القصة,0:36,5,0
17,لماذا جمع الضفدع اوراق الشجر,1:59,5,0
18,ما الذي أعجب الضفدع في حياة السلحفاة؟,6:32,5,0
19,ما الدرس الذي تعلمه الضفدع؟,8:01,5,0
20,"ماذا كانت أمنيات السلاحف الثلاثة ؟ ",3:29,6,0
21,"ماذا حدث للحيوانات التي سخرت من السلاحف عند هبوب العاصفة ؟ ",4:56,6,0
22,"كيف ساعدت السلاحف الحيوانات من الغرق ؟ ",5:39,6,0
23,"ماذا استفدت من القصة ؟ ",7:59,6,0
24,"ماذا فعلت الغولة بعد أن اعتادت على العائلة ؟ ",02:14,7,0
25,لماذا لا تريد العائلة فتح الباب للغولة الأم ؟,2:41,7,0
26,ماذا أخبرت الغولة لولو أمها عن الرجل ؟,3:46,7,0
27,"مِن مَن طلبت المعلقة المساعدة للبحث عن السمكة لولو ؟ ",1:38,8,0
28,ماذا تعني الإتجاهات كما أخبرتهم الخريطة ؟,2:32,8,0
29,ماذا كان يوجد في الحقيبة السحرية ؟,3:51,8,0
30,ماذا استفدت من القصة ؟,5:19,8,0
31,"من ماذا كان يعاني الفأر ؟ ",1:39,9,0
32,كيف ساعدت الحيوانات الفأر المريض ؟,1:53,9,0
33,لماذا ظن الغراب أن السنجاب سبب مرض الفأر ؟,4:47,9,0
34,"ماذا استفدت من القصة ؟ ",6:13,9,0
35,ماذا تفعل النحلة في كل صباح؟,00:25,10,0
36,ماذا فعل ثعلوب للنحلة؟,2:55,10,0
37,ماذا حدث لبيت أسيل؟,1:19,10,0
38,ما هي مشكلة نقار الخشب؟,1:30,11,0
39,ماذا فعل الاستاذ ثعلوب لمساعدة نقار الخشب؟,2:18,11,0
40,كيف كان شتاء تلك الليلة؟,00:29,11,0
41,ماذا فعل الأستاذ ثعلوب صباحاً؟,00:39,12,0
42,ماذا أخذ الأستاذ ثعلب من الورشة؟,02:40,12,0
43,لماذا كان القرد ميمون يدفن الأناناس؟,01:16,12,0
44," كيف اثبت التنين جامح موهبته في التصوير للجميع ?",0:25,13,0
45,ماذا حدث لكاميرا جامح في يوم التصوير ?,1:54,13,0
46,ماذا فعل ثعلوب لمساعدة جامح,4:16,13,0
47,ماذا فعل نور عندما فقد الاتصال بأخته روان,2:04,15,0
48,كيف أصلح روان ونور الجهاز اللاسلكي?,2:42,15,0
49," كيف أصلح الاستاذ ثعلوب الجهاز اللاسلكي ?",4:40,15,0
50,كيف استعد الاستاذ ثعلوب لموعده مع الملك سبع?,1:00,14,0
51,ما المشكلة التي كان يعاني منها الملك سبع,2:42,14,0
52,ما الحل الذي توصل اليه الاستاذ ثعلوب لمساعدة الملك,5:10,14,0
